Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
10.91%,0.01%,RenderThread,27744,27777,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaPipeline::renderFrame(android::uirenderer::LayerUpdateQueue const&, SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, bool, android::uirenderer::Rect const&, sk_sp<SkSurface>, SkMatrix const&)",937250000,1250000,cpu-clock
10.85%,0.06%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const,932250000,5000000,cpu-clock
10.85%,0.05%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*),931750000,4250000,cpu-clock
10.81%,0.05%,RenderThread,27744,27777,/system/lib64/libhwui.so,"SkDrawable::draw(SkCanvas*, SkMatrix const*)",928500000,4500000,cpu-clock
10.50%,0.00%,RenderThread,27744,27777,/system/lib64/libhwui.so,"android::uirenderer::$_38::__invoke(void const*, SkCanvas*, SkMatrix const&) (.__uniq.150848978645254602633048518174355561839.llvm.5283597335554652210)",901500000,250000,cpu-clock
10.49%,0.01%,RenderThread,27744,27777,/system/lib64/libhwui.so,"skgpu::ganesh::Device::drawDrawable(SkCanvas*, SkDrawable*, SkMatrix const*)",900750000,750000,cpu-clock
10.47%,0.01%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::skiapipeline::GLFunctorDrawable::onDraw(SkCanvas*),899750000,500000,cpu-clock
10.16%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a1b04c],872750000,0,cpu-clock
10.14%,0.00%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::WebViewFunctor::drawGl(android::uirenderer::DrawGlInfo const&),870750000,250000,cpu-clock
10.04%,0.01%,RenderThread,27744,27777,/system/lib64/libwebviewchromium_plat_support.so,"android::(anonymous namespace)::draw_gl(int, void*, android::uirenderer::DrawGlInfo const&, android::uirenderer::WebViewOverlayData const&)",862250000,750000,cpu-clock
10.01%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5aa0108],859750000,0,cpu-clock
9.93%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2922de0],853250000,0,cpu-clock
9.86%,0.01%,com.professionballarena.game,27744,27744,[JIT app cache],android.view.Choreographer$FrameDisplayEventReceiver.run,846500000,1000000,cpu-clock
9.84%,0.03%,com.professionballarena.game,27744,27744,[JIT app cache],android.view.Choreographer.doFrame,845500000,3000000,cpu-clock
9.48%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+293a5f0],814000000,0,cpu-clock
9.40%,0.28%,com.professionballarena.game,27744,27744,[JIT app cache],art_jni_trampoline,807000000,24250000,cpu-clock
9.19%,0.03%,RenderThread,27744,27777,/vendor/lib64/libOpenglSystemCommon.so,"QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)",789500000,2500000,cpu-clock
8.98%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5a2a5cc],771750000,0,cpu-clock
8.96%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2942540],769750000,0,cpu-clock
8.93%,0.03%,com.professionballarena.game,27744,27744,[JIT app cache],android.view.Choreographer.doCallbacks,766750000,3000000,cpu-clock
8.75%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+292fea0],752000000,0,cpu-clock
8.69%,0.04%,com.professionballarena.game,27744,27744,[JIT app cache],android.view.Choreographer$CallbackRecord.run,746000000,3500000,cpu-clock
8.67%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+2941bb4],744500000,0,cpu-clock
8.38%,0.00%,Chrome_InProcGp,27744,27829,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5b08db4],720000000,0,cpu-clock
8.36%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+28c4130],718000000,0,cpu-clock
8.32%,0.00%,RenderThread,27744,27777,/system/lib64/libhwui.so,"android::uirenderer::skiapipeline::SkiaOpenGLPipeline::swapBuffers(android::uirenderer::renderthread::Frame const&, android::uirenderer::renderthread::IRenderPipeline::DrawResult&, SkRect const&, android::uirenderer::FrameInfo*, bool*)",714750000,0,cpu-clock
8.31%,0.01%,RenderThread,27744,27777,/system/lib64/libhwui.so,"android::uirenderer::renderthread::EglManager::swapBuffers(android::uirenderer::renderthread::Frame const&, SkRect const&)",714000000,500000,cpu-clock
8.30%,0.00%,RenderThread,27744,27777,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+6091a3c],712500000,0,cpu-clock
8.29%,0.01%,RenderThread,27744,27777,/system/lib64/libEGL.so,eglSwapBuffersWithDamageKHR,712000000,500000,cpu-clock
8.25%,0.03%,RenderThread,27744,27777,/system/lib64/libEGL.so,"android::eglSwapBuffersWithDamageKHRImpl(void*, void*, int const*, int)",708750000,3000000,cpu-clock
8.20%,0.02%,RenderThread,27744,27777,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_read,704000000,2000000,cpu-clock
8.18%,8.18%,RenderThread,27744,27777,/apex/com.android.runtime/lib64/bionic/libc.so,read,702500000,702500000,cpu-clock
8.17%,0.02%,RenderThread,27744,27777,/vendor/lib64/egl/libEGL_emulation.so,eglSwapBuffers,701750000,1500000,cpu-clock
